,sp_nome,estimate_population,population,PNB_score
0,Central,364695.1832519964,414756.0,0.879300560454813
1,Leste,1276573.280565178,4018071.0,0.3177079948475719
2,Norte,502073.7086601599,2208510.0,0.2273359453478408
3,Oeste,544982.6403175332,1059572.0,0.5143422441490839
4,Sul,953903.6980791385,3566432.0,0.2674672328195627
